accession	scientific_name	first_public	base_count
M57300	Drosophila mettleri	1991-06-27	4616
AF006566	Drosophila persimilis	1997-09-11	3486
AY279328	Drosophila mimetica	2004-03-31	2698
X04672	Drosophila sechellia	1987-06-07	4582
M60793	Drosophila nigra	1992-06-06	894
M63287	Drosophila heteroneura	1991-04-04	1634
M63390	Drosophila planitibia	1991-04-04	1616
U68472	Drosophila madeirensis	1999-01-06	1403
X62222	Drosophila pseudoobscura	1992-10-16	3479
X62236	Drosophila pseudoobscura	1992-10-16	3479
X64471	Drosophila pseudoobscura	1992-10-16	3493
X64478	Drosophila pseudoobscura	1992-10-16	3506
JF735885	Drosophila tenebrosa	2011-10-24	531
M63303	Drosophila differens	1991-04-04	1630
X62184	Drosophila pseudoobscura	1992-10-16	3481
X62192	Drosophila pseudoobscura	1992-10-16	3481
X62233	Drosophila pseudoobscura	1992-10-16	3499
M19263	Drosophila simulans	1988-10-04	4607
U68470	Drosophila guanche	1999-01-06	1323
X62186	Drosophila pseudoobscura	1992-10-16	3501
X62209	Drosophila pseudoobscura	1992-10-16	3457
X62191	Drosophila pseudoobscura	1992-10-16	3472
X64469	Drosophila pseudoobscura	1992-10-16	3471
X62182	Drosophila pseudoobscura	1992-10-16	3502
X62189	Drosophila pseudoobscura	1992-10-16	3457
X62198	Drosophila pseudoobscura	1992-10-16	3485
X62200	Drosophila pseudoobscura	1992-10-16	3480
X62225	Drosophila pseudoobscura	1992-10-16	3478
U07641	Drosophila melanogaster	1994-07-04	1140
X62194	Drosophila pseudoobscura	1992-10-16	3465
X62203	Drosophila pseudoobscura	1992-10-16	3499
X62215	Drosophila pseudoobscura	1992-10-16	3499
AY238779	Drosophila miranda	2003-04-08	2042
AY238775	Drosophila miranda	2003-04-08	2042
AF264078	Drosophila paulistorum	2000-05-30	405
AF264079	Drosophila pavlovskiana	2000-05-30	405
DQ471662	Drosophila littoralis	2006-07-20	711
MG684381	Drosophila kepulauana	2018-02-04	730
U26838	Drosophila flavomontana	1995-06-30	957
U94199	Drosophila lineosetae	1998-02-23	222
U94207	Drosophila tanythrix	1998-02-23	204
X78402	Drosophila melanogaster	1994-05-31	44
AF264080	Drosophila sucinea	2000-05-30	405
AY006419	Drosophila planitibia	2001-09-04	510
AY006421	Drosophila substenoptera	2001-09-04	510
AY006425	Drosophila ingens	2001-09-04	510
AY750124	Drosophila micromelanica	2005-12-31	911
DQ471665	Drosophila montana	2006-07-20	711
EU532120	Drosophila insularis	2010-01-21	566
HQ631468	Drosophila pseudoobscura	2011-08-30	290
HQ631476	Drosophila leontia	2011-08-30	290
MG684383	Drosophila siamana	2018-02-04	719
U48715	Drosophila hawaiiensis	1996-04-10	3335
AY006408	Drosophila hanaulae	2001-09-04	510
AY750117	Drosophila longiserrata	2005-12-31	911
AY750135	Drosophila medioconstricta	2005-12-31	911
DQ471629	Drosophila polychaeta	2006-07-20	711
DQ471632	Drosophila daruma	2006-07-20	711
DQ471633	Drosophila fluvialis	2006-07-20	711
EU532119	Drosophila willistoni	2010-01-21	533
X98338	Drosophila melanogaster	1996-12-22	2071
GQ376031	Drosophila sulfurigaster	2009-08-02	410
DQ471666	Drosophila nannoptera	2006-07-20	711
AF059891	Drosophila robusta	1998-04-28	290
AF264076	Drosophila insularis	2000-05-30	405
AY006414	Drosophila silvestris	2001-09-04	510
AY006416	Drosophila differens	2001-09-04	510
AY006422	Drosophila melanocephala	2001-09-04	510
DQ471656	Drosophila anceps	2006-07-20	711
AF264075	Drosophila fumipennis	2000-05-30	405
DQ471627	Drosophila angor	2006-07-20	711
DQ471634	Drosophila latifshahi	2006-07-20	711
EU532118	Drosophila equinoxialis	2010-01-21	573
GQ376036	Drosophila serrata	2009-08-02	410
U90953	Drosophila hubeiensis	1997-11-14	432
U90955	Drosophila obscura	1997-11-14	453
GQ376032	Drosophila birchii	2009-08-02	410
U94208	Drosophila dasycnemia	1998-02-23	204
U48714	Drosophila grimshawi	1996-04-08	3644
AY238771	Drosophila miranda	2003-04-08	2042
AY238773	Drosophila miranda	2003-04-08	2042
AF260696	Drosophila biseriata	2000-09-20	487
KM016476	Drosophila simulans	2014-09-24	478
AB261130	Drosophila quadrilineata	2007-11-03	859
KM016473	Drosophila simulans	2014-09-24	480
U95267	Drosophila willistoni	1999-01-06	1172
AB261141	Drosophila busckii	2007-11-03	820
AF260694	Drosophila funebris	2000-09-20	453
AF260698	Drosophila repleta	2000-09-20	451
AY279322	Drosophila yakuba	2004-03-31	1741
AY279324	Drosophila erecta	2004-03-31	976
AB261129	Drosophila annulipes	2007-11-03	835
DQ471636	Drosophila sp. T	2006-07-20	711
KM016468	Drosophila simulans	2014-09-24	476
U76485	Drosophila mulleri	1997-03-06	261
U76486	Drosophila mojavensis	1997-03-06	245
U95265	Drosophila willistoni	1999-01-06	1172
DQ471643	Drosophila virilis	2006-07-20	711
U95257	Drosophila willistoni	1999-01-06	1172
AB154554	Drosophila kikkawai	2004-04-01	686
AF201434	Drosophila simulans	2000-07-03	480
AF201448	Drosophila simulans	2000-07-03	479
AF284478	Drosophila mauritiana	2000-11-02	701
AY095941	Drosophila kuntzei	2003-05-01	431
DQ471617	Drosophila angor	2006-07-20	711
HQ110511	Drosophila nebulosa	2011-05-06	795
HQ110513	Drosophila neocordata	2011-05-06	832
KX976506	Drosophila yakuba	2016-11-12	771
KX976515	Drosophila yakuba	2016-11-12	771
KX976519	Drosophila yakuba	2016-11-12	771
M62742	Drosophila mayaguana	1991-07-11	905
U95251	Drosophila willistoni	1999-01-06	1174
U95275	Drosophila nebulosa	1999-01-06	1251
AF201443	Drosophila simulans	2000-07-03	479
AF284474	Drosophila mauritiana	2000-11-02	702
AF284477	Drosophila mauritiana	2000-11-02	702
AY095947	Drosophila unispina	2003-05-01	442
AY335201	Drosophila sturtevanti	2003-12-31	792
DQ471614	Drosophila angor	2006-07-20	711
DQ471625	Drosophila perlucida	2006-07-20	711
DQ471642	Drosophila barutani	2006-07-20	711
DQ471646	Drosophila bipatita (nomen nudum)	2006-07-20	711
DQ471647	Drosophila bai	2006-07-20	711
KX384732	Drosophila nasuta	2017-01-03	1122
M62743	Drosophila buzzatii	1991-07-11	908
U95256	Drosophila willistoni	1999-01-06	1172
AF201428	Drosophila simulans	2000-07-03	479
AF201437	Drosophila simulans	2000-07-03	479
AF201440	Drosophila simulans	2000-07-03	479
AF201441	Drosophila simulans	2000-07-03	480
AY095935	Drosophila limbata	2003-05-01	447
JX455215	Drosophila simulans	2012-09-03	480
AB154552	Drosophila kikkawai	2004-04-01	683
AB154561	Drosophila kikkawai	2004-04-01	683
AF201425	Drosophila mauritiana	2000-07-03	475
AF201432	Drosophila simulans	2000-07-03	480
AF201436	Drosophila simulans	2000-07-03	480
AF201438	Drosophila simulans	2000-07-03	480
AY804555	Drosophila yakuba	2005-10-06	759
AY095950	Drosophila phalerata	2003-05-01	430
DQ471622	Drosophila hei	2006-07-20	711
DQ471641	Drosophila neokadai	2006-07-20	711
KX976490	Drosophila yakuba	2016-11-12	771
AB669828	Drosophila biauraria	2014-01-02	842
AB669872	Drosophila ohnishii	2014-01-02	843
AB825962	Drosophila trapezifrons	2015-12-16	836
AF459767	Drosophila nikananu	2002-05-16	290
AF459783	Drosophila rufa	2002-05-16	290
AY459545	Drosophila simulans	2003-11-30	618
EU999242	Drosophila americana	2008-09-09	840
U64522	Drosophila pseudoobscura	1996-08-16	3481
U64544	Drosophila pseudoobscura	1996-08-16	3476
U64559	Drosophila pseudoobscura	1996-08-16	3499
AB669827	Drosophila biauraria	2014-01-02	842
AB669849	Drosophila burlai	2014-01-02	833
AF136692	Drosophila americana americana	1999-06-03	884
AF136702	Drosophila americana texana	1999-06-03	884
AF459749	Drosophila takahashii	2002-05-16	290
AF459760	Drosophila eugracilis	2002-05-16	290
AF459764	Drosophila punjabiensis	2002-05-16	290
EF560576	Drosophila gasici	2008-05-01	622
KJ767237	Drosophila melanogaster	2014-09-04	872
L78923	Drosophila mimica	1996-06-25	822
U76470	Drosophila hydei	1996-11-19	897
AF136656	Drosophila americana americana	1999-06-03	884
AF136663	Drosophila americana americana	1999-06-03	884
AF136698	Drosophila americana americana	1999-06-03	884
AF136704	Drosophila americana texana	1999-06-03	884
AF175218	Drosophila melanogaster	1999-10-06	951
AF201423	Drosophila melanogaster	2000-07-03	479
AF459750	Drosophila lutescens	2002-05-16	290
AY695389	Drosophila dunni	2006-08-01	507
U64536	Drosophila pseudoobscura	1996-08-16	3498
U64555	Drosophila pseudoobscura	1996-08-16	3467
U76476	Drosophila hydei	1996-11-19	897
X54118	Drosophila teissieri	1992-04-14	4321
AF136673	Drosophila americana americana	1999-06-03	884
AF136681	Drosophila americana americana	1999-06-03	884
AF459781	Drosophila orosa	2002-05-16	290
AB669830	Drosophila lacteicornis	2014-01-02	838
AB669841	Drosophila triauraria	2014-01-02	842
AB669894	Drosophila truncata	2014-01-02	830
AF136700	Drosophila americana texana	1999-06-03	884
AF459751	Drosophila lucipennis	2002-05-16	290
AB669833	Drosophila quadraria	2014-01-02	843
EF560577	Drosophila mesophragmatica	2008-05-01	605
U76474	Drosophila hydei	1996-11-19	897
U64526	Drosophila pseudoobscura	1996-08-16	3475
X54116	Drosophila erecta	1992-04-14	3867
AB669829	Drosophila lacteicornis	2014-01-02	838
AB669861	Drosophila cauverii	2014-01-02	833
AF136677	Drosophila americana americana	1999-06-03	884
AY340302	Drosophila americana	2003-08-13	881
AY364513	Drosophila mojavensis	2004-01-30	879
AB703316	Drosophila algonquin	2012-03-18	405
AY340278	Drosophila americana	2003-08-13	881
AY340292	Drosophila americana	2003-08-13	881
AY340294	Drosophila americana	2003-08-13	881
AY364506	Drosophila mojavensis	2004-01-30	880
AY874361	Drosophila subobscura	2005-05-31	1422
AY874371	Drosophila subobscura	2005-05-31	1406
AB703324	Drosophila pseudoobscura	2012-03-18	405
AF136678	Drosophila americana americana	1999-06-03	884
AY340280	Drosophila americana	2003-08-13	881
AY340295	Drosophila americana	2003-08-13	881
AY364493	Drosophila mojavensis	2004-01-30	880
AY364499	Drosophila mojavensis	2004-01-30	880
AY364522	Drosophila mojavensis	2004-01-30	879
AY874368	Drosophila subobscura	2005-05-31	1406
EF216308	Drosophila luguensis	2007-06-10	431
U76483	Drosophila mulleri	1997-03-06	902
AB703320	Drosophila bifasciata	2012-03-18	405
AB703319	Drosophila azteca	2012-03-18	405
AY874366	Drosophila subobscura	2005-05-31	1406
AY874374	Drosophila subobscura	2005-05-31	1406
EF216309	Drosophila limingi	2007-06-10	429
U76480	Drosophila mulleri	1997-03-06	902
AY340284	Drosophila americana	2003-08-13	881
AY340285	Drosophila americana	2003-08-13	881
AY874367	Drosophila subobscura	2005-05-31	1406
AB669838	Drosophila tani	2014-01-02	838
AB669874	Drosophila nikananu	2014-01-02	838
AY154844	Drosophila arizonae	2003-03-03	878
AY154854	Drosophila arizonae	2003-03-03	880
AB932673	Drosophila similis	2014-10-26	839
AF067283	Drosophila subsilvestris	1998-07-02	437
M17827	Drosophila melanogaster	1991-07-01	2696
AY154843	Drosophila arizonae	2003-03-03	878
AY154845	Drosophila arizonae	2003-03-03	879
EF560579	Drosophila gaucha	2008-05-01	626
LC057201	Drosophila prostipennis	2019-06-04	827
LC057202	Drosophila paralutea	2019-06-04	829
M17828	Drosophila melanogaster	1991-07-01	2696
AB669848	Drosophila vulcana	2014-01-02	773
AB194441	Drosophila bipectinata	2005-05-07	759
AB669886	Drosophila mayri	2014-01-02	836
AB932666	Drosophila parthenogenetica	2014-10-26	834
X03048	Drosophila mulleri	1986-07-02	6778
X15585	Drosophila navojoa	1989-11-23	2334
AB194427	Drosophila varians	2005-05-07	1756
AF045124	Drosophila emarginata	1998-06-02	405
